model,runtime,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
rma.uni,0,NA,-19.30763844947769,0.3456234657169588,0.13549439758638007,0.01074660677645048,9.799359418653364e-7,IRR_tau2=0.04_moderate_moderate,1,1
glmmTMB_RE,0.47000000000116415,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),NA,0.34562336254742243,0.13549419341892815,0.010746511741146996,1.8302559178191539e-9,IRR_tau2=0.04_moderate_moderate,1,1
rma.glmm_IRR,0.680000000000291,NA,-95.36790276552968,0.4087153414202837,0.13565404269728373,0.0025874357829079914,0.03185147444986006,IRR_tau2=0.04_moderate_moderate,1,1
glmmTMB.poisson,0.4599999999991269,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-97.61632560548964,-0.08068891125014263,0.12710349905755663,0.5255403370478215,1.8525659849023868e-9,IRR_tau2=0.04_moderate_moderate,1,1
rma.uni,0,NA,-22.960954642838985,0.30777374199082896,0.157394248735488,0.05053210864122286,0.12224198922171019,IRR_tau2=0.04_moderate_moderate,2,2
glmmTMB_RE,0.43999999999869033,NA,-22.96095464283892,0.30777373080351417,0.1607996701727563,0.055617643141527146,0.12224193526411839,IRR_tau2=0.04_moderate_moderate,2,2
rma.glmm_IRR,0.5400000000008731,NA,-100.0662852551735,0.3423449278285088,0.15083800375649836,0.02323065803985138,0.13395445145715895,IRR_tau2=0.04_moderate_moderate,2,2
glmmTMB.poisson,0.47000000000116415,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-102.1077013996609,0.10344101067967709,0.141959910786832,0.466207502553339,0.08819846397818823,IRR_tau2=0.04_moderate_moderate,2,2
rma.uni,0,NA,-21.963991795409324,0.27147616050389084,0.1355286584178272,0.04516758155344537,0.018511994889259316,IRR_tau2=0.04_moderate_moderate,3,3
glmmTMB_RE,0.42000000000189175,NA,-21.96399179540714,0.2714761429106548,0.13578959093308723,0.045582264228938046,0.018511742837590713,IRR_tau2=0.04_moderate_moderate,3,3
rma.glmm_IRR,0.5799999999981083,NA,-99.49211376578549,0.26516946504424166,0.15024421768427462,0.07757671920008938,0.14271618779400305,IRR_tau2=0.04_moderate_moderate,3,3
glmmTMB.poisson,0.42000000000189175,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-98.50985062540235,0.28082408940724235,0.1639525964809923,0.08674251323506599,0.2296720746788555,IRR_tau2=0.04_moderate_moderate,3,3
rma.uni,0,NA,-16.226490497974577,0.4770942056136024,0.13451392436067616,3.899380880182964e-4,0,IRR_tau2=0.04_moderate_moderate,4,4
glmmTMB_RE,0.47999999999956344,NA,-16.22649049693417,0.47709420571008826,0.13451392837938506,3.899382437859386e-4,2.2909942456719287e-9,IRR_tau2=0.04_moderate_moderate,4,4
rma.glmm_IRR,0.5300000000024738,NA,-84.82062124489202,0.5065612249795534,0.1305701039592701,1.0462360520391791e-4,2.040816326530672e-16,IRR_tau2=0.04_moderate_moderate,4,4
glmmTMB.poisson,0.4599999999991269,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-91.92629990953733,0.0640215239088553,0.12655591525676052,0.612944124626843,1.1663022914624934e-9,IRR_tau2=0.04_moderate_moderate,4,4
rma.uni,0.029999999998835847,NA,-14.422427551342526,0.20403019366551872,0.13121940354591102,0.11997507354363486,0,IRR_tau2=0.04_moderate_moderate,5,5
glmmTMB_RE,0.4000000000014552,NA,-14.422427519994876,0.20403019368203357,0.13121941133676485,0.1199750955043127,1.9942618957043645e-9,IRR_tau2=0.04_moderate_moderate,5,5
rma.glmm_IRR,0.5,NA,-87.38299610735878,0.23590580292816565,0.12814323135574118,0.0656282901719693,6.232686980608845e-17,IRR_tau2=0.04_moderate_moderate,5,5
glmmTMB.poisson,0.43999999999869033,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-88.74709490098735,0.10536051565397864,0.12743356536044198,0.408357352799908,1.0032457888569597e-9,IRR_tau2=0.04_moderate_moderate,5,5
rma.uni,0.00999999999839929,NA,-14.963550242827608,0.4364747375988922,0.13098290310741834,8.613038596829174e-4,0,IRR_tau2=0.04_moderate_moderate,6,6
glmmTMB_RE,0.38000000000101863,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),NA,0.4364747381978861,0.1309829051224495,8.613040041988497e-4,2.7359470281032563e-9,IRR_tau2=0.04_moderate_moderate,6,6
rma.glmm_IRR,0.5299999999988358,NA,-90.45789059996926,0.4510775614794737,0.12785038333156434,4.184473535450163e-4,0,IRR_tau2=0.04_moderate_moderate,6,6
glmmTMB.poisson,0.4099999999998545,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-92.32059676227664,0.33780688894269634,0.12654035916755388,0.007595104567347489,6.749726280582479e-10,IRR_tau2=0.04_moderate_moderate,6,6
rma.uni,0,NA,-17.360744228276985,0.4190551609657587,0.1346655375811605,0.0018593667464107348,0,IRR_tau2=0.04_moderate_moderate,7,7
glmmTMB_RE,0.4400000000023283,NA,-17.36074312794475,0.41905516095827017,0.13466557400740303,0.0018593720480552514,7.732544891478695e-11,IRR_tau2=0.04_moderate_moderate,7,7
rma.glmm_IRR,0.5299999999988358,NA,-90.83891877780859,0.4418591447825077,0.1425491085653689,0.0019371824331023573,0.06720953156299699,IRR_tau2=0.04_moderate_moderate,7,7
glmmTMB.poisson,0.41999999999825377,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-94.76814557812907,-0.17642804720350244,0.1428573673448208,0.21683259211972397,0.0801564560758481,IRR_tau2=0.04_moderate_moderate,7,7
rma.uni,0,NA,-18.730737961835516,0.530252583482012,0.13695571524246222,1.0807522975402175e-4,3.997080354896511e-6,IRR_tau2=0.04_moderate_moderate,8,8
glmmTMB_RE,0.43999999999869033,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),NA,0.5302523379828021,0.13695489995245902,1.0806580364884002e-4,1.702780351196003e-9,IRR_tau2=0.04_moderate_moderate,8,8
rma.glmm_IRR,0.4599999999991269,NA,-92.03438971486274,0.5815913697538557,0.13356639732399056,1.3347816701830727e-5,0.010349480529763401,IRR_tau2=0.04_moderate_moderate,8,8
glmmTMB.poisson,0.47000000000116415,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-95.64019073988825,-0.31329464830179854,0.12779089932849017,0.014221499449348547,8.494414220347415e-10,IRR_tau2=0.04_moderate_moderate,8,8
rma.uni,0,NA,-19.344757983328343,0.48443400062792563,0.13601390671601438,3.6853073972170197e-4,1.988929439331818e-6,IRR_tau2=0.04_moderate_moderate,9,9
glmmTMB_RE,0.43999999999869033,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",NA,0.48443393007052016,0.1360134953932385,3.685163465229421e-4,3.0398161247470897e-10,IRR_tau2=0.04_moderate_moderate,9,9
rma.glmm_IRR,0.5599999999976717,NA,-96.59995028316226,0.5352957747010862,0.13363699890355157,6.186140767066572e-5,0.017269078937889978,IRR_tau2=0.04_moderate_moderate,9,9
glmmTMB.poisson,0.4900000000016007,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-101.15451480298114,0.13346296662376017,0.14160782172823735,0.3459454035786714,0.0733007143362446,IRR_tau2=0.04_moderate_moderate,9,9
rma.uni,0.020000000000436557,NA,-23.513941785849486,0.5144374664537802,0.1522049916026625,7.251252756621122e-4,0.0663103803860403,IRR_tau2=0.04_moderate_moderate,10,10
glmmTMB_RE,0.43999999999869033,NA,-23.513941785776645,0.5144371151370827,0.15503596761721694,9.060635113365283e-4,0.06630840551414727,IRR_tau2=0.04_moderate_moderate,10,10
rma.glmm_IRR,0.48999999999796273,NA,-94.51216476619388,0.6057124813826197,0.16882055531370335,3.3334291835506347e-4,0.226305424986977,IRR_tau2=0.04_moderate_moderate,10,10
glmmTMB.poisson,0.42000000000189175,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),-101.93323601218947,0.18253321665811842,0.14658650109180446,0.21304895308227043,0.10181763676016181,IRR_tau2=0.04_moderate_moderate,10,10
